shop_id,mac,time
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|04|5|-57,2018-05-24 17:45:46
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-52,2018-05-24 17:59:08
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-53,2018-05-24 17:48:07
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 17:58:27
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 17:58:38
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 17:58:43
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 17:59:18
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 17:59:27
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 17:57:03
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 17:58:23
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 17:58:33
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 17:45:02
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 17:49:07
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 17:57:43
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 17:59:13
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 17:55:58
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 17:57:33
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-58,2018-05-24 17:55:48
5,00:00:00:00:74:F1|50:6F:77:44:72:C2|01|09|1|-55,2018-05-24 17:42:37
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-60,2018-05-24 17:42:12
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-60,2018-05-24 17:43:37
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-60,2018-05-24 17:44:02
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-60,2018-05-24 17:44:37
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-61,2018-05-24 17:42:27
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-61,2018-05-24 17:43:27
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-61,2018-05-24 17:57:38
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-63,2018-05-24 17:45:27
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-63,2018-05-24 17:45:37
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-63,2018-05-24 17:50:53
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-63,2018-05-24 17:51:43
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-64,2018-05-24 17:44:32
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-64,2018-05-24 17:44:57
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-64,2018-05-24 17:45:22
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-64,2018-05-24 17:48:37
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-65,2018-05-24 17:42:46
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-65,2018-05-24 17:43:12
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-65,2018-05-24 17:44:07
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-65,2018-05-24 17:44:22
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-65,2018-05-24 17:44:46
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-65,2018-05-24 17:44:52
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-65,2018-05-24 17:45:12
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-65,2018-05-24 17:45:17
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-66,2018-05-24 17:42:22
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-66,2018-05-24 17:43:32
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|1|-54,2018-05-24 17:58:08
5,00:00:00:00:74:F1|68:14:01:06:70:6C|01|09|11|-63,2018-05-24 17:45:42
5,00:00:00:00:74:F1|88:66:39:62:C2:01|00|04|1|-52,2018-05-24 17:50:28
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-57,2018-05-24 17:52:13
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-58,2018-05-24 17:50:33
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-58,2018-05-24 17:50:43
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-59,2018-05-24 17:50:58
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-59,2018-05-24 17:52:18
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-59,2018-05-24 17:56:48
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-60,2018-05-24 17:57:27
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-61,2018-05-24 17:43:07
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-61,2018-05-24 17:50:23
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-61,2018-05-24 17:56:23
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-61,2018-05-24 17:56:43
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-61,2018-05-24 17:56:58
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-61,2018-05-24 17:57:08
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-62,2018-05-24 17:55:38
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-65,2018-05-24 17:44:42
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-66,2018-05-24 17:42:07
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|12|-58,2018-05-24 17:50:38
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|12|-59,2018-05-24 17:52:43
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|12|-61,2018-05-24 17:50:17
5,00:00:00:00:74:F1|88:66:39:62:C2:01|01|09|12|-64,2018-05-24 17:44:17
5,00:00:00:00:74:F1|88:66:39:62:C2:02|01|09|11|-58,2018-05-24 17:49:57
5,00:00:00:00:74:F1|88:66:39:62:C2:02|01|09|11|-58,2018-05-24 17:51:08
5,00:00:00:00:74:F1|88:66:39:62:C2:02|01|09|11|-58,2018-05-24 17:55:43
5,00:00:00:00:74:F1|88:66:39:62:C2:02|01|09|11|-59,2018-05-24 17:47:12
5,00:00:00:00:74:F1|88:66:39:62:C2:02|01|09|11|-59,2018-05-24 17:48:17
5,00:00:00:00:74:F1|88:66:39:62:C2:02|01|09|11|-59,2018-05-24 17:50:12
5,00:00:00:00:74:F1|88:66:39:62:C2:02|01|09|11|-60,2018-05-24 17:55:53
5,00:00:00:00:74:F1|88:66:39:62:C2:02|01|09|11|-61,2018-05-24 17:46:22
5,00:00:00:00:74:F1|88:66:39:62:C2:02|01|09|11|-66,2018-05-24 17:42:57
5,00:00:00:00:74:F1|88:66:39:62:C2:02|01|09|11|-66,2018-05-24 17:56:38
5,00:00:00:00:74:F1|88:66:39:62:C2:02|01|09|12|-57,2018-05-24 17:53:46
5,00:00:00:00:74:F1|88:66:39:62:C2:02|01|09|1|-57,2018-05-24 17:56:33
5,00:00:00:00:74:F1|88:66:39:62:C3:01|00|04|13|-69,2018-05-24 17:53:03
5,00:00:00:00:74:F1|88:66:39:62:C6:01|01|09|6|-79,2018-05-24 17:47:07
5,00:00:00:00:74:F1|88:66:39:62:C6:01|01|09|6|-80,2018-05-24 17:45:32
5,00:00:00:00:74:F1|88:66:39:62:C6:01|01|09|7|-79,2018-05-24 17:56:13
5,00:00:00:00:74:F1|88:66:39:62:DA:81|00|04|3|-80,2018-05-24 17:46:37
5,00:00:00:00:74:F1|88:66:39:62:DA:81|00|04|7|-89,2018-05-24 17:49:27
5,00:00:00:00:74:F1|88:66:39:62:DA:81|01|09|6|-82,2018-05-24 17:53:18
5,00:00:00:00:74:F1|88:66:39:62:DA:81|01|09|6|-83,2018-05-24 17:57:13
5,00:00:00:00:74:F1|88:66:39:62:DA:81|01|09|6|-84,2018-05-24 17:42:42
5,00:00:00:00:74:F1|88:66:39:62:DA:81|01|09|6|-85,2018-05-24 17:52:53
5,00:00:00:00:74:F1|88:66:39:62:DA:81|01|09|6|-85,2018-05-24 17:59:58
5,00:00:00:00:74:F1|88:66:39:62:DA:81|01|09|6|-86,2018-05-24 17:53:13
5,00:00:00:00:74:F1|88:66:39:62:DA:81|01|09|7|-83,2018-05-24 17:53:38
5,00:00:00:74:F1|88:66:39:62:C2:01|01|09|11|-59,2018-05-24 17:57:03
5,00:28:F8:BB:7E:57|50:6F:77:44:72:C1|02|00|1|-56,2018-05-24 17:48:27
5,00:28:F8:BB:7E:57|50:6F:77:44:72:C1|02|00|1|-72,2018-05-24 17:47:02
5,00:28:F8:BB:7E:57|50:6F:77:44:72:C1|02|00|1|-74,2018-05-24 17:46:22
5,00:28:F8:BB:7E:57|5C:54:6D:38:B5:01|02|00|11|-57,2018-05-24 17:43:52
5,00:28:F8:BB:7E:57|5C:54:6D:38:B5:01|02|00|11|-57,2018-05-24 17:52:53
5,00:28:F8:BB:7E:57|5C:54:6D:38:B5:01|02|08|11|-66,2018-05-24 17:57:38
5,00:28:F8:BB:7E:57|88:66:39:62:C2:01|02|00|11|-68,2018-05-24 17:55:43
