shop_id,cus_mac,sen_mac,frame_big,frame_little,channel,intensity,time
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-55,2018-05-27 23:00:57
506,00:00:00:00:74:F1,88:66:39:62:D8:41,00,04,12,-60,2018-05-27 23:01:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-55,2018-05-27 23:02:57
506,00:00:00:00:74:F1,88:66:39:62:C4:21,00,04,10,-65,2018-05-27 23:03:57
506,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,3,-41,2018-05-27 23:04:57
506,00:00:00:00:74:F1,88:66:39:62:C5:A1,00,04,12,-86,2018-05-27 23:06:57
506,00:00:00:00:74:F1,50:6F:77:44:72:C1,00,04,4,-58,2018-05-27 23:07:57
506,00:00:00:00:74:F1,88:66:39:62:DA:81,00,04,4,-77,2018-05-27 23:08:57
506,00:00:00:00:74:F1,88:66:39:62:DA:81,01,09,6,-87,2018-05-27 23:09:57
506,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,7,-51,2018-05-27 23:10:57
506,00:00:00:00:74:F1,88:66:39:62:C3:41,00,04,7,-67,2018-05-27 23:11:57
506,00:00:00:00:74:F1,88:66:39:62:C6:C1,00,04,13,-66,2018-05-27 23:12:57
506,00:00:00:00:74:F1,68:14:01:06:70:6C,00,0d,11,-51,2018-05-27 23:13:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-55,2018-05-27 23:15:57
506,00:00:00:00:74:F1,88:66:39:62:C6:C1,00,04,4,-61,2018-05-27 23:17:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,00,04,3,-52,2018-05-27 23:19:57
506,00:00:00:00:74:F1,88:66:39:62:C3:01,00,04,6,-75,2018-05-27 23:21:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-54,2018-05-27 23:23:57
506,00:00:00:00:74:F1,50:6F:77:44:72:C1,00,04,9,-60,2018-05-27 23:24:57
506,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,12,-44,2018-05-27 23:25:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-52,2018-05-27 23:26:57
506,00:00:00:00:74:F1,88:66:39:62:D8:41,00,04,12,-44,2018-05-27 23:27:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-52,2018-05-27 23:29:57
506,00:00:00:00:74:F1,88:66:39:62:C6:01,00,04,4,-62,2018-05-27 23:30:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-54,2018-05-27 23:31:57
506,00:00:00:00:74:F1,88:66:39:62:C4:21,00,04,2,-63,2018-05-27 23:32:57
506,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,10,-39,2018-05-27 23:33:57
506,00:00:00:00:74:F1,88:66:39:62:DA:81,01,09,6,-86,2018-05-27 23:34:57
506,00:00:00:00:74:F1,88:66:39:62:D8:41,00,04,9,-58,2018-05-27 23:35:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-53,2018-05-27 23:36:57
506,00:00:00:00:74:F1,88:66:39:62:C4:21,00,04,6,-62,2018-05-27 23:37:57
506,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,12,-45,2018-05-27 23:38:57
506,00:00:00:00:74:F1,88:66:39:62:C5:A1,00,04,9,-77,2018-05-27 23:40:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-56,2018-05-27 23:42:57
506,00:00:00:00:74:F1,88:66:39:62:C6:01,01,09,11,-72,2018-05-27 23:43:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-55,2018-05-27 23:44:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-53,2018-05-27 23:45:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-56,2018-05-27 23:47:57
506,00:00:00:00:74:F1,68:14:01:06:70:6C,00,0d,11,-50,2018-05-27 23:48:57
506,00:00:00:00:74:F1,50:6F:77:44:72:C2,01,09,1,-65,2018-05-27 23:49:57
506,00:00:00:00:74:F1,88:66:39:62:C3:41,00,04,7,-66,2018-05-27 23:50:57
506,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,12,-46,2018-05-27 23:51:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-53,2018-05-27 23:54:57
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-55,2018-05-27 23:55:57
506,00:00:00:00:74:F1,88:66:39:62:C6:C1,00,04,4,-62,2018-05-27 23:56:57
506,00:00:00:00:74:F1,88:66:39:62:C3:01,00,04,7,-74,2018-05-27 23:58:57
506,00:95:69:C6:60:01,5C:54:6D:38:B5:01,02,08,11,-53,2018-05-27 23:37:57
506,00:95:69:C6:60:01,FF:FF:FF:FF:FF:FF,00,04,8,-89,2018-05-27 23:51:57
506,00:95:69:C6:60:01,88:66:39:62:DA:81,02,04,6,-92,2018-05-27 23:57:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-54,2018-05-27 23:01:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-54,2018-05-27 23:02:57
506,00:95:69:C6:60:18,FF:FF:FF:FF:FF:FF,00,04,9,-62,2018-05-27 23:03:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-55,2018-05-27 23:04:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-53,2018-05-27 23:06:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-55,2018-05-27 23:07:57
506,00:95:69:C6:60:18,FF:FF:FF:FF:FF:FF,00,04,4,-74,2018-05-27 23:08:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,12,-49,2018-05-27 23:09:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,1,-54,2018-05-27 23:13:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,9,-75,2018-05-27 23:14:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,1,-55,2018-05-27 23:15:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,12,-49,2018-05-27 23:16:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-53,2018-05-27 23:17:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-52,2018-05-27 23:18:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-55,2018-05-27 23:19:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-55,2018-05-27 23:20:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-51,2018-05-27 23:21:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-50,2018-05-27 23:24:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,11,-48,2018-05-27 23:25:57
506,00:95:69:C6:60:18,FF:FF:FF:FF:FF:FF,02,04,12,-49,2018-05-27 23:26:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-54,2018-05-27 23:27:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-51,2018-05-27 23:28:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-53,2018-05-27 23:29:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-54,2018-05-27 23:31:57
506,00:95:69:C6:60:18,FF:FF:FF:FF:FF:FF,00,04,7,-69,2018-05-27 23:32:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-52,2018-05-27 23:33:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-52,2018-05-27 23:34:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,1,-56,2018-05-27 23:37:57
506,00:95:69:C6:60:18,FF:FF:FF:FF:FF:FF,00,04,4,-72,2018-05-27 23:39:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,9,-78,2018-05-27 23:40:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,11,-50,2018-05-27 23:41:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-53,2018-05-27 23:43:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-53,2018-05-27 23:44:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-53,2018-05-27 23:45:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,12,-50,2018-05-27 23:46:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,10,-53,2018-05-27 23:47:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-54,2018-05-27 23:48:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,12,-49,2018-05-27 23:49:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,10,-53,2018-05-27 23:50:57
506,00:95:69:C6:60:18,FF:FF:FF:FF:FF:FF,00,04,12,-58,2018-05-27 23:51:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-54,2018-05-27 23:53:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,9,-77,2018-05-27 23:54:57
506,00:95:69:C6:60:18,FF:FF:FF:FF:FF:FF,02,04,11,-49,2018-05-27 23:56:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,12,-48,2018-05-27 23:58:57
506,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,12,-50,2018-05-27 23:59:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-48,2018-05-27 23:00:57
506,00:95:69:C6:77:4C,FF:FF:FF:FF:FF:FF,00,04,6,-68,2018-05-27 23:01:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-51,2018-05-27 23:03:57
506,00:95:69:C6:77:4C,FF:FF:FF:FF:FF:FF,00,04,1,-75,2018-05-27 23:08:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-50,2018-05-27 23:09:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,1,-47,2018-05-27 23:10:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-49,2018-05-27 23:13:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-51,2018-05-27 23:16:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,08,1,-47,2018-05-27 23:18:57
506,00:95:69:C6:77:4C,FF:FF:FF:FF:FF:FF,00,04,12,-49,2018-05-27 23:19:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-50,2018-05-27 23:23:57
506,00:95:69:C6:77:4C,FF:FF:FF:FF:FF:FF,00,04,9,-64,2018-05-27 23:26:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-49,2018-05-27 23:29:57
506,00:95:69:C6:77:4C,FF:FF:FF:FF:FF:FF,00,04,5,-56,2018-05-27 23:32:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,1,-47,2018-05-27 23:33:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,4,-59,2018-05-27 23:36:57
506,00:95:69:C6:77:4C,FF:FF:FF:FF:FF:FF,00,04,1,-59,2018-05-27 23:37:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-48,2018-05-27 23:38:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-48,2018-05-27 23:42:57
506,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-50,2018-05-27 23:45:57
