shop_id,mac,intensity,time
5,00:00:00:00:74:F1,-64,2018-05-22 21:01:03
5,00:00:00:00:74:F1,-84,2018-05-22 21:07:02
5,00:00:00:00:74:F1,-95,2018-05-22 21:10:08
5,00:00:00:00:74:F1,-55,2018-05-22 21:15:59
5,00:00:00:00:74:F1,-69,2018-05-22 21:16:14
5,00:00:00:00:74:F1,-81,2018-05-22 21:17:07
5,00:00:00:00:74:F1,-72,2018-05-22 21:18:03
5,00:00:00:00:74:F1,-49,2018-05-22 21:23:44
5,00:00:00:00:74:F1,-71,2018-05-22 21:30:14
5,00:00:00:00:74:F1,-76,2018-05-22 21:36:05
5,00:00:00:00:74:F1,-80,2018-05-22 21:38:08
5,00:00:00:00:74:F1,-66,2018-05-22 21:40:07
5,00:00:00:00:74:F1,-73,2018-05-22 21:45:06
5,00:00:00:00:74:F1,-61,2018-05-22 21:46:03
5,00:00:00:00:74:F1,-60,2018-05-22 21:51:06
5,00:00:00:00:74:F1,-58,2018-05-22 21:54:07
5,00:00:00:00:74:F1,-66,2018-05-22 21:55:00
5,00:00:00:00:74:F1,-71,2018-05-22 21:58:06
5,00:95:69:C6:60:01,-87,2018-05-22 21:00:17
5,00:95:69:C6:60:01,-87,2018-05-22 21:01:44
5,00:95:69:C6:60:01,-91,2018-05-22 21:03:04
5,00:95:69:C6:60:01,-86,2018-05-22 21:03:19
5,00:95:69:C6:60:01,-85,2018-05-22 21:05:01
5,00:95:69:C6:60:01,-89,2018-05-22 21:10:39
5,00:95:69:C6:60:01,-90,2018-05-22 21:11:04
5,00:95:69:C6:60:01,-86,2018-05-22 21:13:01
5,00:95:69:C6:60:01,-88,2018-05-22 21:18:48
5,00:95:69:C6:60:01,-85,2018-05-22 21:19:03
5,00:95:69:C6:60:01,-87,2018-05-22 21:29:54
5,00:95:69:C6:60:01,-88,2018-05-22 21:31:49
5,00:95:69:C6:60:01,-85,2018-05-22 21:32:04
5,00:95:69:C6:60:01,-89,2018-05-22 21:35:05
5,00:95:69:C6:60:01,-89,2018-05-22 21:41:07
5,00:95:69:C6:60:01,-86,2018-05-22 21:42:53
5,00:95:69:C6:60:01,-85,2018-05-22 21:45:16
5,00:95:69:C6:60:01,-88,2018-05-22 21:50:51
5,00:95:69:C6:60:01,-87,2018-05-22 21:54:12
5,00:95:69:C6:77:4C,-62,2018-05-22 21:00:38
5,00:95:69:C6:77:4C,-62,2018-05-22 21:04:10
5,00:95:69:C6:77:4C,-59,2018-05-22 21:08:33
5,00:95:69:C6:77:4C,-61,2018-05-22 21:09:58
5,00:95:69:C6:77:4C,-60,2018-05-22 21:13:26
5,00:95:69:C6:77:4C,-66,2018-05-22 21:14:34
5,00:95:69:C6:77:4C,-60,2018-05-22 21:16:52
5,00:95:69:C6:77:4C,-56,2018-05-22 21:20:28
5,00:95:69:C6:77:4C,-66,2018-05-22 21:20:33
5,00:95:69:C6:77:4C,-60,2018-05-22 21:23:24
5,00:95:69:C6:77:4C,-60,2018-05-22 21:26:48
5,00:95:69:C6:77:4C,-60,2018-05-22 21:29:54
5,00:95:69:C6:77:4C,-61,2018-05-22 21:32:34
5,00:95:69:C6:77:4C,-68,2018-05-22 21:32:49
5,00:95:69:C6:77:4C,-61,2018-05-22 21:33:04
5,00:95:69:C6:77:4C,-61,2018-05-22 21:33:19
5,00:95:69:C6:77:4C,-61,2018-05-22 21:36:50
5,00:95:69:C6:77:4C,-61,2018-05-22 21:38:33
5,00:95:69:C6:77:4C,-60,2018-05-22 21:40:01
5,00:95:69:C6:77:4C,-61,2018-05-22 21:40:17
5,00:95:69:C6:77:4C,-73,2018-05-22 21:44:31
5,00:95:69:C6:77:4C,-61,2018-05-22 21:49:07
5,00:95:69:C6:77:4C,-59,2018-05-22 21:50:31
5,00:95:69:C6:77:4C,-60,2018-05-22 21:52:37
5,00:95:69:C6:77:4C,-61,2018-05-22 21:52:52
5,00:95:69:C6:77:4C,-61,2018-05-22 21:56:20
5,00:95:69:C6:86:01,-60,2018-05-22 21:01:33
5,00:95:69:C6:86:01,-53,2018-05-22 21:03:50
5,00:95:69:C6:86:01,-63,2018-05-22 21:08:58
5,00:95:69:C6:86:01,-53,2018-05-22 21:09:13
5,00:95:69:C6:86:01,-53,2018-05-22 21:09:28
5,00:95:69:C6:86:01,-53,2018-05-22 21:09:53
5,00:95:69:C6:86:01,-54,2018-05-22 21:15:14
5,00:95:69:C6:86:01,-54,2018-05-22 21:15:29
5,00:95:69:C6:86:01,-57,2018-05-22 21:22:38
5,00:95:69:C6:86:01,-54,2018-05-22 21:22:54
5,00:95:69:C6:86:01,-52,2018-05-22 21:22:59
5,00:95:69:C6:86:01,-58,2018-05-22 21:25:13
5,00:95:69:C6:86:01,-62,2018-05-22 21:26:43
5,00:95:69:C6:86:01,-54,2018-05-22 21:27:15
5,00:95:69:C6:86:01,-54,2018-05-22 21:28:13
5,00:95:69:C6:86:01,-52,2018-05-22 21:28:33
5,00:95:69:C6:86:01,-86,2018-05-22 21:28:58
5,00:95:69:C6:86:01,-61,2018-05-22 21:31:54
5,00:95:69:C6:86:01,-62,2018-05-22 21:33:39
5,00:95:69:C6:86:01,-54,2018-05-22 21:34:44
5,00:95:69:C6:86:01,-54,2018-05-22 21:39:57
5,00:95:69:C6:86:01,-52,2018-05-22 21:40:12
5,00:95:69:C6:86:01,-61,2018-05-22 21:41:01
5,00:95:69:C6:86:01,-60,2018-05-22 21:45:21
5,00:95:69:C6:86:01,-54,2018-05-22 21:45:53
5,00:95:69:C6:86:01,-60,2018-05-22 21:50:56
5,00:95:69:C6:86:01,-54,2018-05-22 21:51:11
5,00:95:69:C6:86:01,-54,2018-05-22 21:51:31
5,00:95:69:C6:86:01,-53,2018-05-22 21:51:56
5,00:95:69:C6:86:01,-54,2018-05-22 21:53:22
5,00:95:69:C6:86:01,-54,2018-05-22 21:57:15
5,00:95:69:C6:86:01,-63,2018-05-22 21:58:47
5,00:95:69:C6:86:01,-54,2018-05-22 21:59:03
5,00:95:69:C6:86:01,-53,2018-05-22 21:59:18
5,00:95:69:C6:86:7A,-54,2018-05-22 21:05:11
5,00:95:69:C6:86:7A,-54,2018-05-22 21:05:26
5,00:95:69:C6:86:7A,-54,2018-05-22 21:05:57
5,00:95:69:C6:86:7A,-59,2018-05-22 21:06:12
5,00:95:69:C6:86:7A,-58,2018-05-22 21:10:34
5,00:95:69:C6:86:7A,-58,2018-05-22 21:21:33
5,00:95:69:C6:86:7A,-54,2018-05-22 21:22:03
5,00:95:69:C6:86:7A,-58,2018-05-22 21:22:18
5,00:95:69:C6:86:7A,-58,2018-05-22 21:23:39
5,00:95:69:C6:86:7A,-54,2018-05-22 21:23:59
5,00:95:69:C6:86:7A,-54,2018-05-22 21:24:14
5,00:95:69:C6:86:7A,-54,2018-05-22 21:27:43
5,00:95:69:C6:86:7A,-59,2018-05-22 21:28:48
5,00:95:69:C6:86:7A,-60,2018-05-22 21:31:04
5,00:95:69:C6:86:7A,-54,2018-05-22 21:31:19
5,00:95:69:C6:86:7A,-54,2018-05-22 21:31:34
5,00:95:69:C6:86:7A,-61,2018-05-22 21:31:54
5,00:95:69:C6:86:7A,-54,2018-05-22 21:33:44
5,00:95:69:C6:86:7A,-48,2018-05-22 21:34:44
5,00:95:69:C6:86:7A,-54,2018-05-22 21:34:49
5,00:95:69:C6:86:7A,-69,2018-05-22 21:40:22
5,00:95:69:C6:86:7A,-58,2018-05-22 21:40:37
5,00:95:69:C6:86:7A,-52,2018-05-22 21:40:47
5,00:95:69:C6:86:7A,-55,2018-05-22 21:40:52
5,00:95:69:C6:86:7A,-69,2018-05-22 21:45:06
5,00:95:69:C6:86:7A,-59,2018-05-22 21:46:45
5,00:95:69:C6:86:7A,-61,2018-05-22 21:51:01
5,00:95:69:C6:86:7A,-55,2018-05-22 21:51:16
5,00:95:69:C6:86:7A,-61,2018-05-22 21:54:01
5,00:95:69:C6:86:7A,-56,2018-05-22 21:54:17
5,00:95:69:C6:86:7A,-54,2018-05-22 21:54:35
5,00:95:69:C6:86:7A,-55,2018-05-22 21:58:47
5,00:95:69:C6:86:7A,-55,2018-05-22 21:59:56
5,00:95:69:C6:86:CC,-51,2018-05-22 21:00:12
5,00:95:69:C6:86:CC,-50,2018-05-22 21:01:38
5,00:95:69:C6:86:CC,-51,2018-05-22 21:11:09
5,00:95:69:C6:86:CC,-51,2018-05-22 21:11:29
5,00:95:69:C6:86:CC,-50,2018-05-22 21:11:39
5,00:95:69:C6:86:CC,-48,2018-05-22 21:12:36
5,00:95:69:C6:86:CC,-51,2018-05-22 21:12:56
5,00:95:69:C6:86:CC,-51,2018-05-22 21:13:11
5,00:95:69:C6:86:CC,-50,2018-05-22 21:14:39
5,00:95:69:C6:86:CC,-50,2018-05-22 21:14:54
5,00:95:69:C6:86:CC,-51,2018-05-22 21:16:37
5,00:95:69:C6:86:CC,-52,2018-05-22 21:17:01
5,00:95:69:C6:86:CC,-53,2018-05-22 21:17:17
5,00:95:69:C6:86:CC,-51,2018-05-22 21:18:33
5,00:95:69:C6:86:CC,-49,2018-05-22 21:23:34
5,00:95:69:C6:86:CC,-51,2018-05-22 21:24:34
5,00:95:69:C6:86:CC,-51,2018-05-22 21:26:33
5,00:95:69:C6:86:CC,-50,2018-05-22 21:30:39
5,00:95:69:C6:86:CC,-49,2018-05-22 21:34:39
5,00:95:69:C6:86:CC,-50,2018-05-22 21:36:35
5,00:95:69:C6:86:CC,-53,2018-05-22 21:37:20
5,00:95:69:C6:86:CC,-50,2018-05-22 21:37:40
5,00:95:69:C6:86:CC,-50,2018-05-22 21:42:23
5,00:95:69:C6:86:CC,-51,2018-05-22 21:42:33
5,00:95:69:C6:86:CC,-53,2018-05-22 21:48:36
5,00:95:69:C6:86:CC,-51,2018-05-22 21:55:15
5,00:95:69:C6:86:CC,-51,2018-05-22 21:55:20
5,00:95:69:C6:86:CC,-50,2018-05-22 21:56:35
5,00:95:69:C6:86:CC,-51,2018-05-22 21:57:41
5,00:95:69:C6:89:C5,-61,2018-05-22 21:01:23
5,00:95:69:C6:89:C5,-67,2018-05-22 21:02:19
5,00:95:69:C6:89:C5,-60,2018-05-22 21:04:20
5,00:95:69:C6:89:C5,-57,2018-05-22 21:04:36
5,00:95:69:C6:89:C5,-59,2018-05-22 21:05:36
5,00:95:69:C6:89:C5,-53,2018-05-22 21:07:23
5,00:95:69:C6:89:C5,-67,2018-05-22 21:07:33
5,00:95:69:C6:89:C5,-58,2018-05-22 21:08:03
5,00:95:69:C6:89:C5,-59,2018-05-22 21:10:34
5,00:95:69:C6:89:C5,-47,2018-05-22 21:13:21
5,00:95:69:C6:89:C5,-58,2018-05-22 21:16:47
5,00:95:69:C6:89:C5,-58,2018-05-22 21:19:03
5,00:95:69:C6:89:C5,-58,2018-05-22 21:19:18
5,00:95:69:C6:89:C5,-52,2018-05-22 21:19:23
5,00:95:69:C6:89:C5,-56,2018-05-22 21:21:03
5,00:95:69:C6:89:C5,-60,2018-05-22 21:31:24
5,00:95:69:C6:89:C5,-57,2018-05-22 21:32:04
5,00:95:69:C6:89:C5,-52,2018-05-22 21:37:25
5,00:95:69:C6:89:C5,-67,2018-05-22 21:43:08
5,00:95:69:C6:89:C5,-56,2018-05-22 21:43:18
5,00:95:69:C6:89:C5,-60,2018-05-22 21:43:33
5,00:95:69:C6:89:C5,-59,2018-05-22 21:44:46
5,00:95:69:C6:89:C5,-53,2018-05-22 21:49:07
5,00:95:69:C6:89:C5,-49,2018-05-22 21:55:05
5,00:95:69:C6:89:C5,-59,2018-05-22 21:57:46
5,00:95:69:D1:53:7D,-75,2018-05-22 21:00:07
5,00:95:69:D1:53:7D,-69,2018-05-22 21:01:23
5,00:95:69:D1:53:7D,-67,2018-05-22 21:04:00
5,00:95:69:D1:53:7D,-68,2018-05-22 21:05:21
5,00:95:69:D1:53:7D,-67,2018-05-22 21:05:36
5,00:95:69:D1:53:7D,-67,2018-05-22 21:06:52
5,00:95:69:D1:53:7D,-67,2018-05-22 21:07:38
5,00:95:69:D1:53:7D,-68,2018-05-22 21:09:38
5,00:95:69:D1:53:7D,-68,2018-05-22 21:11:44
5,00:95:69:D1:53:7D,-68,2018-05-22 21:12:09
5,00:95:69:D1:53:7D,-68,2018-05-22 21:12:51
5,00:95:69:D1:53:7D,-67,2018-05-22 21:16:24
5,00:95:69:D1:53:7D,-68,2018-05-22 21:16:52
5,00:95:69:D1:53:7D,-69,2018-05-22 21:17:53
5,00:95:69:D1:53:7D,-67,2018-05-22 21:18:08
5,00:95:69:D1:53:7D,-68,2018-05-22 21:18:38
5,00:95:69:D1:53:7D,-67,2018-05-22 21:19:53
5,00:95:69:D1:53:7D,-67,2018-05-22 21:20:38
5,00:95:69:D1:53:7D,-67,2018-05-22 21:21:38
5,00:95:69:D1:53:7D,-68,2018-05-22 21:23:19
5,00:95:69:D1:53:7D,-68,2018-05-22 21:25:08
5,00:95:69:D1:53:7D,-68,2018-05-22 21:27:28
5,00:95:69:D1:53:7D,-66,2018-05-22 21:29:08
5,00:95:69:D1:53:7D,-68,2018-05-22 21:30:39
5,00:95:69:D1:53:7D,-67,2018-05-22 21:33:39
5,00:95:69:D1:53:7D,-68,2018-05-22 21:35:35
5,00:95:69:D1:53:7D,-67,2018-05-22 21:35:40
5,00:95:69:D1:53:7D,-67,2018-05-22 21:36:30
5,00:95:69:D1:53:7D,-68,2018-05-22 21:37:10
5,00:95:69:D1:53:7D,-70,2018-05-22 21:37:20
5,00:95:69:D1:53:7D,-67,2018-05-22 21:38:18
5,00:95:69:D1:53:7D,-68,2018-05-22 21:38:43
5,00:95:69:D1:53:7D,-69,2018-05-22 21:40:12
5,00:95:69:D1:53:7D,-69,2018-05-22 21:41:53
5,00:95:69:D1:53:7D,-67,2018-05-22 21:43:55
5,00:95:69:D1:53:7D,-68,2018-05-22 21:48:36
5,00:95:69:D1:53:7D,-68,2018-05-22 21:48:41
5,00:95:69:D1:53:7D,-68,2018-05-22 21:51:26
5,00:95:69:D1:53:7D,-62,2018-05-22 21:53:52
5,00:95:69:D1:53:7D,-68,2018-05-22 21:55:55
5,00:95:69:D1:53:7D,-69,2018-05-22 21:56:30
5,00:95:69:D1:53:7D,-70,2018-05-22 21:56:55
5,00:95:69:D1:53:7D,-76,2018-05-22 21:57:20
5,00:95:69:D1:53:7D,-67,2018-05-22 21:59:56
5,00:95:69:D1:61:57,-13,2018-05-22 21:01:03
5,00:95:69:D1:61:57,-52,2018-05-22 21:02:54
5,00:95:69:D1:61:57,-10,2018-05-22 21:03:24
5,00:95:69:D1:61:57,-13,2018-05-22 21:03:40
5,00:95:69:D1:61:57,-14,2018-05-22 21:04:05
5,00:95:69:D1:61:57,-58,2018-05-22 21:04:41
5,00:95:69:D1:61:57,-13,2018-05-22 21:05:51
5,00:95:69:D1:61:57,-49,2018-05-22 21:06:22
5,00:95:69:D1:61:57,-62,2018-05-22 21:06:52
5,00:95:69:D1:61:57,-64,2018-05-22 21:07:12
5,00:95:69:D1:61:57,-13,2018-05-22 21:08:08
5,00:95:69:D1:61:57,-59,2018-05-22 21:11:54
5,00:95:69:D1:61:57,-60,2018-05-22 21:13:11
5,00:95:69:D1:61:57,-10,2018-05-22 21:16:24
5,00:95:69:D1:61:57,-13,2018-05-22 21:16:42
5,00:95:69:D1:61:57,-12,2018-05-22 21:17:07
5,00:95:69:D1:61:57,-13,2018-05-22 21:18:23
5,00:95:69:D1:61:57,-13,2018-05-22 21:19:08
5,00:95:69:D1:61:57,-17,2018-05-22 21:19:13
5,00:95:69:D1:61:57,-48,2018-05-22 21:21:38
5,00:95:69:D1:61:57,-11,2018-05-22 21:22:03
5,00:95:69:D1:61:57,-11,2018-05-22 21:29:23
5,00:95:69:D1:61:57,-49,2018-05-22 21:31:14
5,00:95:69:D1:61:57,-13,2018-05-22 21:31:24
5,00:95:69:D1:61:57,-53,2018-05-22 21:32:24
5,00:95:69:D1:61:57,-53,2018-05-22 21:32:54
5,00:95:69:D1:61:57,-12,2018-05-22 21:33:09
5,00:95:69:D1:61:57,-12,2018-05-22 21:35:20
5,00:95:69:D1:61:57,-13,2018-05-22 21:36:10
5,00:95:69:D1:61:57,-54,2018-05-22 21:37:10
5,00:95:69:D1:61:57,-13,2018-05-22 21:39:13
