shop_id,mac,time
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|04|10|-85,2018-05-24 14:36:11
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|04|11|-63,2018-05-24 14:59:42
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|04|2|-61,2018-05-24 14:13:30
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|04|2|-61,2018-05-24 14:52:11
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|04|3|-47,2018-05-24 14:52:16
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|04|7|-60,2018-05-24 14:16:10
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|0d|1|-53,2018-05-24 14:56:51
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|0d|1|-54,2018-05-24 14:04:54
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|0d|1|-54,2018-05-24 14:15:15
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|0d|1|-55,2018-05-24 14:21:20
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|0d|2|-56,2018-05-24 14:43:56
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|0d|2|-56,2018-05-24 14:44:36
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|0d|2|-57,2018-05-24 14:18:30
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|0d|2|-57,2018-05-24 14:44:31
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|0d|2|-57,2018-05-24 14:54:36
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|0d|2|-58,2018-05-24 14:01:24
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|0d|2|-58,2018-05-24 14:21:57
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|00|0d|3|-66,2018-05-24 14:56:46
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-52,2018-05-24 14:13:10
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-52,2018-05-24 14:40:26
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-53,2018-05-24 14:20:45
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-53,2018-05-24 14:48:57
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-53,2018-05-24 14:49:46
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 14:05:09
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 14:08:30
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 14:10:55
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 14:12:05
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 14:14:25
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 14:35:21
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 14:44:21
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 14:48:21
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-54,2018-05-24 14:57:27
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:00:34
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:00:39
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:01:34
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:01:39
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:01:44
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:05:34
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:05:50
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:06:15
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:07:05
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:07:50
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:08:10
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:09:35
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:11:55
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:12:10
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:12:35
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:12:55
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:13:05
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:13:45
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:14:30
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:25:45
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:26:55
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:27:25
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:30:25
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:30:57
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:31:45
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:38:11
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:40:16
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:45:57
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:47:26
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:48:46
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:49:11
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:49:21
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:49:26
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:53:11
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:57:47
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-55,2018-05-24 14:59:57
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:01:49
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:01:54
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:01:57
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:05:14
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:05:24
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:05:57
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:07:35
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:08:15
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:08:20
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:08:45
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:08:50
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:09:05
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:09:10
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:09:25
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:09:45
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:09:50
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:10:15
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:10:20
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:10:57
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:11:05
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:11:20
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:12:20
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:18:05
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:28:50
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:45:41
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:45:46
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:45:51
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:49:36
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-56,2018-05-24 14:59:52
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 14:00:04
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 14:02:19
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 14:05:44
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 14:08:55
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 14:09:55
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 14:10:05
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 14:10:30
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 14:11:15
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 14:11:25
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 14:12:30
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 14:48:36
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-57,2018-05-24 14:49:16
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-58,2018-05-24 14:02:04
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-58,2018-05-24 14:10:45
5,00:00:00:00:74:F1|50:6F:77:44:72:C1|01|09|1|-58,2018-05-24 14:11:57
5,00:00:00:00:74:F1|50:6F:77:44:72:C2|01|09|1|-55,2018-05-24 14:04:57
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|00|04|9|-49,2018-05-24 14:55:06
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|00|04|9|-50,2018-05-24 14:29:35
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|10|-62,2018-05-24 14:12:45
5,00:00:00:00:74:F1|5C:54:6D:38:B5:01|01|09|11|-60,2018-05-24 14:14:05
