shop_id,mac,intensity,time
5,00:00:00:00:74:F1,-77,2018-05-22 23:00:13
5,00:00:00:00:74:F1,-69,2018-05-22 23:03:13
5,00:00:00:00:74:F1,-79,2018-05-22 23:09:07
5,00:00:00:00:74:F1,-49,2018-05-22 23:09:17
5,00:00:00:00:74:F1,-72,2018-05-22 23:18:01
5,00:00:00:00:74:F1,-73,2018-05-22 23:23:05
5,00:00:00:00:74:F1,-79,2018-05-22 23:27:11
5,00:00:00:00:74:F1,-52,2018-05-22 23:28:05
5,00:00:00:00:74:F1,-70,2018-05-22 23:29:05
5,00:00:00:00:74:F1,-43,2018-05-22 23:29:15
5,00:00:00:00:74:F1,-44,2018-05-22 23:30:10
5,00:00:00:00:74:F1,-55,2018-05-22 23:38:06
5,00:00:00:00:74:F1,-81,2018-05-22 23:40:07
5,00:00:00:00:74:F1,-74,2018-05-22 23:44:11
5,00:00:00:00:74:F1,-78,2018-05-22 23:48:06
5,00:00:00:00:74:F1,-49,2018-05-22 23:50:23
5,00:00:00:00:74:F1,-57,2018-05-22 23:51:02
5,00:00:00:00:74:F1,-60,2018-05-22 23:55:01
5,00:00:00:00:74:F1,-47,2018-05-22 23:55:16
5,00:00:00:00:74:F1,-48,2018-05-22 23:56:53
5,00:95:69:C6:60:01,-84,2018-05-22 23:05:05
5,00:95:69:C6:60:01,-88,2018-05-22 23:11:07
5,00:95:69:C6:60:01,-86,2018-05-22 23:12:47
5,00:95:69:C6:60:01,-86,2018-05-22 23:15:16
5,00:95:69:C6:60:01,-89,2018-05-22 23:17:06
5,00:95:69:C6:60:01,-88,2018-05-22 23:19:52
5,00:95:69:C6:60:01,-86,2018-05-22 23:22:12
5,00:95:69:C6:60:01,-86,2018-05-22 23:28:05
5,00:95:69:C6:60:01,-87,2018-05-22 23:41:14
5,00:95:69:C6:60:01,-87,2018-05-22 23:45:37
5,00:95:69:C6:60:01,-87,2018-05-22 23:46:55
5,00:95:69:C6:60:01,-87,2018-05-22 23:47:10
5,00:95:69:C6:60:01,-91,2018-05-22 23:47:26
5,00:95:69:C6:60:01,-88,2018-05-22 23:48:01
5,00:95:69:C6:77:4C,-59,2018-05-22 23:00:58
5,00:95:69:C6:77:4C,-59,2018-05-22 23:02:33
5,00:95:69:C6:77:4C,-60,2018-05-22 23:07:02
