shop_id,cus_mac,sen_mac,frame_big,frame_little,channel,intensity,time
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-27 07:00:33
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-27 07:00:53
201,00:00:00:00:74:F1,88:66:39:62:DA:81,00,04,12,-89,2018-05-27 07:01:18
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,00,04,12,-78,2018-05-27 07:02:16
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-27 07:02:36
201,00:00:00:00:74:F1,50:6F:77:44:72:C1,00,04,4,-67,2018-05-27 07:03:18
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-27 07:04:30
201,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,10,-43,2018-05-27 07:05:29
201,00:00:00:00:74:F1,68:14:01:06:70:6C,00,0d,10,-65,2018-05-27 07:05:44
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-27 07:06:09
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,00,04,6,-54,2018-05-27 07:06:29
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-27 07:08:03
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,00,04,11,-54,2018-05-27 07:09:29
201,00:00:00:00:74:F1,88:66:39:62:DA:A1,00,04,6,-91,2018-05-27 07:10:20
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-27 07:10:55
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-27 07:11:00
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-27 07:11:05
201,00:00:00:00:74:F1,88:66:39:62:D8:41,00,04,11,-68,2018-05-27 07:12:18
201,00:00:00:00:74:F1,50:6F:77:44:72:C1,00,04,12,-72,2018-05-27 07:13:17
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-27 07:13:32
201,00:00:00:00:74:F1,88:66:39:62:C4:21,00,04,10,-70,2018-05-27 07:14:18
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-27 07:14:28
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-27 07:14:33
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-27 07:14:38
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-27 07:14:43
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-27 07:14:48
201,00:00:00:00:74:F1,88:66:39:62:C3:41,00,04,3,-62,2018-05-27 07:15:18
201,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,3,-59,2018-05-27 07:15:31
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-61,2018-05-27 07:16:06
201,00:00:00:00:74:F1,88:66:39:62:C3:01,00,04,5,-72,2018-05-27 07:17:18
201,00:00:00:00:74:F1,68:14:01:06:70:6C,02,08,11,-63,2018-05-27 07:19:30
201,00:00:00:00:74:F1,88:66:39:62:C3:01,00,04,10,-71,2018-05-27 07:20:18
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-64,2018-05-27 07:20:33
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-27 07:20:38
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,00,04,11,-55,2018-05-27 07:22:29
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-27 07:24:11
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-27 07:24:21
201,00:00:00:00:74:F1,88:66:39:62:D8:41,00,04,10,-62,2018-05-27 07:25:17
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-27 07:25:22
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-63,2018-05-27 07:27:58
201,00:00:00:00:74:F1,88:66:39:62:C3:41,00,04,3,-62,2018-05-27 07:28:18
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-62,2018-05-27 07:29:38
201,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,12,-62,2018-05-27 07:29:48
201,00:95:69:C6:60:01,88:66:39:62:DA:81,02,04,7,-87,2018-05-27 07:03:18
201,00:95:69:C6:60:01,88:66:39:62:DA:81,02,04,6,-85,2018-05-27 07:03:33
201,00:95:69:C6:60:01,88:66:39:62:DA:81,02,04,6,-85,2018-05-27 07:05:19
201,00:95:69:C6:60:01,88:66:39:62:DA:81,02,04,7,-87,2018-05-27 07:06:19
201,00:95:69:C6:60:01,FF:FF:FF:FF:FF:FF,00,04,12,-90,2018-05-27 07:08:58
201,00:95:69:C6:60:01,88:66:39:62:DA:81,02,04,7,-86,2018-05-27 07:11:31
201,00:95:69:C6:60:01,FF:FF:FF:FF:FF:FF,00,04,10,-84,2018-05-27 07:14:53
201,00:95:69:C6:60:01,88:66:39:62:DA:81,02,04,6,-86,2018-05-27 07:20:03
201,00:95:69:C6:60:01,88:66:39:62:DA:81,02,04,6,-89,2018-05-27 07:25:44
201,00:95:69:C6:60:01,88:66:39:62:DA:81,02,04,7,-87,2018-05-27 07:27:33
201,00:95:69:C6:60:01,88:66:39:62:DA:81,02,04,7,-87,2018-05-27 07:29:19
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-67,2018-05-27 07:00:53
201,00:95:69:C6:60:18,FF:FF:FF:FF:FF:FF,00,04,12,-61,2018-05-27 07:01:48
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-65,2018-05-27 07:02:26
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,12,-60,2018-05-27 07:02:41
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,11,-61,2018-05-27 07:02:57
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,10,-68,2018-05-27 07:03:13
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-67,2018-05-27 07:04:35
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,10,-64,2018-05-27 07:05:19
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-65,2018-05-27 07:05:29
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,12,-60,2018-05-27 07:07:00
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,12,-60,2018-05-27 07:07:26
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-66,2018-05-27 07:07:36
201,00:95:69:C6:60:18,FF:FF:FF:FF:FF:FF,02,04,10,-63,2018-05-27 07:07:48
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,11,-61,2018-05-27 07:09:03
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,10,-64,2018-05-27 07:09:19
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-66,2018-05-27 07:10:00
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-65,2018-05-27 07:10:25
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-65,2018-05-27 07:10:35
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-65,2018-05-27 07:10:40
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-65,2018-05-27 07:10:50
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,12,-61,2018-05-27 07:13:06
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,11,-63,2018-05-27 07:13:22
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-67,2018-05-27 07:13:37
201,00:95:69:C6:60:18,FF:FF:FF:FF:FF:FF,00,04,8,-72,2018-05-27 07:14:08
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-64,2018-05-27 07:16:12
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-65,2018-05-27 07:16:17
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-65,2018-05-27 07:16:37
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,11,-60,2018-05-27 07:18:09
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-64,2018-05-27 07:18:45
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,10,-64,2018-05-27 07:19:15
201,00:95:69:C6:60:18,FF:FF:FF:FF:FF:FF,00,04,2,-62,2018-05-27 07:20:03
201,00:95:69:C6:60:18,FF:FF:FF:FF:FF:FF,00,04,3,-61,2018-05-27 07:20:08
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-66,2018-05-27 07:21:48
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,12,-62,2018-05-27 07:24:47
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-65,2018-05-27 07:25:39
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,04,12,-61,2018-05-27 07:26:05
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-64,2018-05-27 07:26:10
201,00:95:69:C6:60:18,5C:54:6D:38:B5:01,02,08,11,-66,2018-05-27 07:26:58
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-70,2018-05-27 07:00:18
201,00:95:69:C6:77:4C,FF:FF:FF:FF:FF:FF,00,04,6,-64,2018-05-27 07:00:23
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,1,-67,2018-05-27 07:00:33
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-71,2018-05-27 07:03:43
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,1,-72,2018-05-27 07:03:58
201,00:95:69:C6:77:4C,FF:FF:FF:FF:FF:FF,00,04,1,-71,2018-05-27 07:06:24
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,1,-67,2018-05-27 07:07:00
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-72,2018-05-27 07:08:03
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,1,-67,2018-05-27 07:08:18
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-72,2018-05-27 07:11:31
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,1,-69,2018-05-27 07:11:46
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-72,2018-05-27 07:14:58
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,1,-69,2018-05-27 07:15:18
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-73,2018-05-27 07:18:29
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,1,-68,2018-05-27 07:18:45
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,2,-72,2018-05-27 07:21:58
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,1,-69,2018-05-27 07:22:14
201,00:95:69:C6:77:4C,FF:FF:FF:FF:FF:FF,02,04,1,-69,2018-05-27 07:24:26
201,00:95:69:C6:77:4C,50:6F:77:44:72:C1,02,04,1,-70,2018-05-27 07:25:39
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,2,-44,2018-05-27 07:00:43
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,1,-42,2018-05-27 07:00:58
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,5,-53,2018-05-27 07:02:41
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,2,-46,2018-05-27 07:04:08
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,3,-51,2018-05-27 07:07:48
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,2,-44,2018-05-27 07:08:03
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,1,-40,2018-05-27 07:08:18
201,00:95:69:C6:86:01,FF:FF:FF:FF:FF:FF,00,04,12,-58,2018-05-27 07:08:43
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,1,-41,2018-05-27 07:10:05
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,2,-45,2018-05-27 07:13:17
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,1,-42,2018-05-27 07:13:32
201,00:95:69:C6:86:01,FF:FF:FF:FF:FF:FF,00,04,10,-52,2018-05-27 07:14:43
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,2,-44,2018-05-27 07:16:42
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,1,-43r,2018-05-27 07:16:58
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,08,3,-54,2018-05-27 07:19:45
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,00,04,3,-46,2018-05-27 07:20:43
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,2,-44,2018-05-27 07:21:02
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,1,-42,2018-05-27 07:21:22
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,2,-44,2018-05-27 07:24:31
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,1,-43,2018-05-27 07:24:47
201,00:95:69:C6:86:01,FF:FF:FF:FF:FF:FF,00,04,4,-84,2018-05-27 07:26:43
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,2,-43,2018-05-27 07:27:58
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,2,-44,2018-05-27 07:29:43
201,00:95:69:C6:86:01,50:6F:77:44:72:C1,02,04,1,-41,2018-05-27 07:29:58
