shop_id,mac,intensity,time
369,00:00:00:00:74:F1,-43,2018-05-16 21:00:06
369,00:00:00:00:74:F1,-58,2018-05-16 21:00:08
369,00:00:00:00:74:F1,-85,2018-05-16 21:01:06
369,00:00:00:00:74:F1,-90,2018-05-16 21:01:08
369,00:00:00:00:74:F1,-87,2018-05-16 21:02:06
369,00:00:00:00:74:F1,-78,2018-05-16 21:02:08
369,00:00:00:00:74:F1,-89,2018-05-16 21:03:06
369,00:00:00:00:74:F1,-78,2018-05-16 21:03:08
369,00:00:00:00:74:F1,-86,2018-05-16 21:04:06
369,00:00:00:00:74:F1,-55,2018-05-16 21:04:08
369,00:00:00:00:74:F1,-85,2018-05-16 21:05:06
369,00:00:00:00:74:F1,-77,2018-05-16 21:05:08
369,00:00:00:00:74:F1,-53,2018-05-16 21:06:06
369,00:00:00:00:74:F1,-95,2018-05-16 21:06:08
369,00:00:00:00:74:F1,-87,2018-05-16 21:07:06
369,00:00:00:00:74:F1,-71,2018-05-16 21:07:08
369,00:00:00:00:74:F1,-85,2018-05-16 21:08:06
369,00:00:00:00:74:F1,-80,2018-05-16 21:08:08
369,00:00:00:00:74:F1,-87,2018-05-16 21:09:06
369,00:00:00:00:74:F1,-76,2018-05-16 21:09:08
369,00:00:00:00:74:F1,-54,2018-05-16 21:10:06
369,00:00:00:00:74:F1,-78,2018-05-16 21:10:08
369,00:00:00:00:74:F1,-85,2018-05-16 21:12:06
369,00:00:00:00:74:F1,-87,2018-05-16 21:13:06
369,00:00:00:00:74:F1,-57,2018-05-16 21:13:08
369,00:00:00:00:74:F1,-87,2018-05-16 21:14:06
369,00:00:00:00:74:F1,-88,2018-05-16 21:14:08
369,00:00:00:00:74:F1,-78,2018-05-16 21:15:08
369,00:00:00:00:74:F1,-86,2018-05-16 21:16:06
369,00:00:00:00:74:F1,-79,2018-05-16 21:16:08
369,00:00:00:00:74:F1,-81,2018-05-16 21:17:08
369,00:00:00:00:74:F1,-88,2018-05-16 21:18:06
369,00:00:00:00:74:F1,-97,2018-05-16 21:18:08
369,00:00:00:00:74:F1,-74,2018-05-16 21:19:06
369,00:00:00:00:74:F1,-86,2018-05-16 21:20:06
369,00:00:00:00:74:F1,-81,2018-05-16 21:20:08
369,00:00:00:00:74:F1,-86,2018-05-16 21:21:06
369,00:00:00:00:74:F1,-81,2018-05-16 21:21:08
369,00:00:00:00:74:F1,-52,2018-05-16 21:22:06
369,00:00:00:00:74:F1,-82,2018-05-16 21:22:08
369,00:00:00:00:74:F1,-78,2018-05-16 21:23:08
369,00:00:00:00:74:F1,-72,2018-05-16 21:24:06
369,00:00:00:00:74:F1,-86,2018-05-16 21:25:06
369,00:00:00:00:74:F1,-78,2018-05-16 21:25:08
369,00:00:00:00:74:F1,-88,2018-05-16 21:26:06
369,00:00:00:00:74:F1,-57,2018-05-16 21:26:08
369,00:00:00:00:74:F1,-51,2018-05-16 21:27:06
369,00:00:00:00:74:F1,-83,2018-05-16 21:27:08
369,00:00:00:00:74:F1,-95,2018-05-16 21:28:06
369,00:00:00:00:74:F1,-74,2018-05-16 21:28:08
369,00:00:00:00:74:F1,-86,2018-05-16 21:29:06
369,00:00:00:00:74:F1,-87,2018-05-16 21:29:08
369,00:00:00:00:74:F1,-86,2018-05-16 21:30:06
369,00:00:00:00:74:F1,-82,2018-05-16 21:30:08
369,00:00:00:00:74:F1,-47,2018-05-16 21:31:06
369,00:00:00:00:74:F1,-65,2018-05-16 21:31:08
369,00:00:00:00:74:F1,-84,2018-05-16 21:32:06
369,00:00:00:00:74:F1,-78,2018-05-16 21:32:08
369,00:00:00:00:74:F1,-76,2018-05-16 21:33:06
369,00:00:00:00:74:F1,-81,2018-05-16 21:33:08
369,00:00:00:00:74:F1,-68,2018-05-16 21:34:06
369,00:00:00:00:74:F1,-87,2018-05-16 21:34:08
369,00:00:00:00:74:F1,-52,2018-05-16 21:35:06
369,00:00:00:00:74:F1,-65,2018-05-16 21:35:08
369,00:00:00:00:74:F1,-86,2018-05-16 21:36:06
369,00:00:00:00:74:F1,-80,2018-05-16 21:36:08
369,00:00:00:00:74:F1,-86,2018-05-16 21:37:06
369,00:00:00:00:74:F1,-79,2018-05-16 21:37:08
369,00:00:00:00:74:F1,-87,2018-05-16 21:38:06
369,00:00:00:00:74:F1,-82,2018-05-16 21:38:08
369,00:00:00:00:74:F1,-83,2018-05-16 21:39:06
369,00:00:00:00:74:F1,-46,2018-05-16 21:39:08
369,00:00:00:00:74:F1,-61,2018-05-16 21:40:06
369,00:00:00:00:74:F1,-31,2018-05-16 21:40:08
369,00:00:00:00:74:F1,-86,2018-05-16 21:41:06
369,00:00:00:00:74:F1,-77,2018-05-16 21:41:08
369,00:00:00:00:74:F1,-86,2018-05-16 21:42:06
369,00:00:00:00:74:F1,-85,2018-05-16 21:42:08
369,00:00:00:00:74:F1,-53,2018-05-16 21:43:06
369,00:00:00:00:74:F1,-79,2018-05-16 21:43:08
369,00:00:00:00:74:F1,-86,2018-05-16 21:44:06
369,00:00:00:00:74:F1,-82,2018-05-16 21:45:06
369,00:00:00:00:74:F1,-80,2018-05-16 21:45:08
369,00:00:00:00:74:F1,-87,2018-05-16 21:46:06
369,00:00:00:00:74:F1,-88,2018-05-16 21:47:06
369,00:00:00:00:74:F1,-88,2018-05-16 21:47:08
369,00:00:00:00:74:F1,-76,2018-05-16 21:48:08
369,00:00:00:00:74:F1,-85,2018-05-16 21:49:06
369,00:00:00:00:74:F1,-82,2018-05-16 21:50:06
369,00:00:00:00:74:F1,-78,2018-05-16 21:50:08
369,00:00:00:00:74:F1,-89,2018-05-16 21:51:06
369,00:00:00:00:74:F1,-79,2018-05-16 21:51:08
369,00:00:00:00:74:F1,-80,2018-05-16 21:52:08
369,00:00:00:00:74:F1,-64,2018-05-16 21:53:06
369,00:00:00:00:74:F1,-88,2018-05-16 21:53:08
369,00:00:00:00:74:F1,-85,2018-05-16 21:54:06
369,00:00:00:00:74:F1,-78,2018-05-16 21:54:08
369,00:00:00:00:74:F1,-57,2018-05-16 21:55:06
369,00:00:00:00:74:F1,-85,2018-05-16 21:55:08
369,00:00:00:00:74:F1,-52,2018-05-16 21:56:06
369,00:00:00:00:74:F1,-79,2018-05-16 21:56:08
369,00:00:00:00:74:F1,-86,2018-05-16 21:57:06
369,00:00:00:00:74:F1,-70,2018-05-16 21:57:08
369,00:00:00:00:74:F1,-81,2018-05-16 21:58:06
369,00:00:00:00:74:F1,-78,2018-05-16 21:58:08
369,00:00:00:00:74:F1,-76,2018-05-16 21:59:06
369,00:00:00:00:74:F1,-71,2018-05-16 21:59:08
369,00:95:69:C6:60:01,-92,2018-05-16 21:02:08
369,00:95:69:C6:60:01,-89,2018-05-16 21:04:08
369,00:95:69:C6:60:01,-94,2018-05-16 21:08:06
369,00:95:69:C6:60:01,-93,2018-05-16 21:08:08
369,00:95:69:C6:60:01,-89,2018-05-16 21:17:08
369,00:95:69:C6:60:01,-89,2018-05-16 21:21:08
369,00:95:69:C6:60:01,-88,2018-05-16 21:23:08
