shop_id,mac,intensity,time
5,00:00:00:00:74:F1,-71,2018-05-22 20:01:11
5,00:00:00:00:74:F1,-77,2018-05-22 20:07:06
5,00:00:00:00:74:F1,-79,2018-05-22 20:09:11
5,00:00:00:00:74:F1,-65,2018-05-22 20:22:05
5,00:00:00:00:74:F1,-43,2018-05-22 20:23:20
5,00:00:00:00:74:F1,-81,2018-05-22 20:29:06
5,00:00:00:00:74:F1,-74,2018-05-22 20:29:11
5,00:00:00:00:74:F1,-49,2018-05-22 20:31:27
5,00:00:00:00:74:F1,-52,2018-05-22 20:31:57
5,00:00:00:00:74:F1,-72,2018-05-22 20:32:02
5,00:00:00:00:74:F1,-89,2018-05-22 20:36:45
5,00:00:00:00:74:F1,-81,2018-05-22 20:37:20
5,00:00:00:00:74:F1,-45,2018-05-22 20:39:00
5,00:00:00:00:74:F1,-81,2018-05-22 20:39:35
5,00:00:00:00:74:F1,-73,2018-05-22 20:40:05
5,00:00:00:00:74:F1,-88,2018-05-22 20:42:32
5,00:00:00:00:74:F1,-70,2018-05-22 20:43:12
5,00:00:00:00:74:F1,-40,2018-05-22 20:45:14
5,00:00:00:00:74:F1,-82,2018-05-22 20:45:24
5,00:00:00:00:74:F1,-78,2018-05-22 20:46:04
5,00:00:00:00:74:F1,-82,2018-05-22 20:46:24
5,00:00:00:00:74:F1,-71,2018-05-22 20:48:05
5,00:00:00:00:74:F1,-73,2018-05-22 20:48:15
5,00:00:00:00:74:F1,-57,2018-05-22 20:49:05
5,00:00:00:00:74:F1,-67,2018-05-22 20:50:15
5,00:00:00:00:74:F1,-47,2018-05-22 20:51:00
5,00:00:00:00:74:F1,-53,2018-05-22 20:52:57
5,00:00:00:00:74:F1,-63,2018-05-22 20:54:03
5,00:00:00:00:74:F1,-69,2018-05-22 20:58:05
5,00:00:00:00:74:F1,-74,2018-05-22 20:58:45
5,00:95:69:C6:60:01,-88,2018-05-22 20:02:03
5,00:95:69:C6:60:01,-85,2018-05-22 20:07:51
5,00:95:69:C6:60:01,-88,2018-05-22 20:15:39
5,00:95:69:C6:60:01,-85,2018-05-22 20:18:15
5,00:95:69:C6:60:01,-87,2018-05-22 20:21:30
