shop_id,mac,intensity,time
110,00:00:00:00:74:F1,-75,2018-05-22 04:00:12
110,00:00:00:00:74:F1,-60,2018-05-22 04:01:12
110,00:00:00:00:74:F1,-79,2018-05-22 04:03:12
110,00:00:00:00:74:F1,-63,2018-05-22 04:04:12
110,00:00:00:00:74:F1,-76,2018-05-22 04:05:12
110,00:00:00:00:74:F1,-78,2018-05-22 04:07:12
110,00:00:00:00:74:F1,-61,2018-05-22 04:08:13
110,00:00:00:00:74:F1,-76,2018-05-22 04:09:12
110,00:00:00:00:74:F1,-77,2018-05-22 04:10:12
110,00:00:00:00:74:F1,-73,2018-05-22 04:11:12
110,00:00:00:00:74:F1,-79,2018-05-22 04:12:12
110,00:00:00:00:74:F1,-77,2018-05-22 04:13:12
110,00:00:00:00:74:F1,-78,2018-05-22 04:14:13
110,00:00:00:00:74:F1,-69,2018-05-22 04:15:12
110,00:00:00:00:74:F1,-77,2018-05-22 04:16:12
110,00:00:00:00:74:F1,-81,2018-05-22 04:17:12
110,00:00:00:00:74:F1,-68,2018-05-22 04:19:12
110,00:00:00:00:74:F1,-46,2018-05-22 04:20:13
110,00:00:00:00:74:F1,-62,2018-05-22 04:21:12
110,00:00:00:00:74:F1,-76,2018-05-22 04:22:12
110,00:00:00:00:74:F1,-77,2018-05-22 04:23:12
110,00:00:00:00:74:F1,-51,2018-05-22 04:24:12
110,00:00:00:00:74:F1,-70,2018-05-22 04:25:12
110,00:00:00:00:74:F1,-56,2018-05-22 04:26:13
110,00:00:00:00:74:F1,-65,2018-05-22 04:27:12
110,00:00:00:00:74:F1,-77,2018-05-22 04:28:12
110,00:00:00:00:74:F1,-80,2018-05-22 04:30:12
110,00:00:00:00:74:F1,-78,2018-05-22 04:31:12
110,00:00:00:00:74:F1,-66,2018-05-22 04:32:13
110,00:00:00:00:74:F1,-77,2018-05-22 04:35:12
110,00:00:00:00:74:F1,-58,2018-05-22 04:37:12
110,00:00:00:00:74:F1,-77,2018-05-22 04:39:12
110,00:00:00:00:74:F1,-63,2018-05-22 04:40:12
110,00:00:00:00:74:F1,-69,2018-05-22 04:42:12
110,00:00:00:00:74:F1,-83,2018-05-22 04:43:12
110,00:00:00:00:74:F1,-77,2018-05-22 04:44:13
110,00:00:00:00:74:F1,-79,2018-05-22 04:47:12
110,00:00:00:00:74:F1,-59,2018-05-22 04:48:12
110,00:00:00:00:74:F1,-78,2018-05-22 04:49:12
110,00:00:00:00:74:F1,-66,2018-05-22 04:51:12
110,00:00:00:00:74:F1,-77,2018-05-22 04:52:12
110,00:00:00:00:74:F1,-63,2018-05-22 04:53:12
110,00:00:00:00:74:F1,-47,2018-05-22 04:54:12
110,00:00:00:00:74:F1,-48,2018-05-22 04:55:12
110,00:00:00:00:74:F1,-66,2018-05-22 04:56:13
110,00:00:00:00:74:F1,-44,2018-05-22 04:57:12
110,00:00:00:00:74:F1,-84,2018-05-22 04:58:12
110,00:00:00:00:74:F1,-77,2018-05-22 04:59:12
110,00:95:69:C6:60:01,-95,2018-05-22 04:34:12
110,00:95:69:C6:60:01,-96,2018-05-22 04:35:12
110,00:95:69:C6:60:01,-95,2018-05-22 04:47:12
110,00:95:69:C6:60:01,-96,2018-05-22 04:53:12
110,00:95:69:C6:77:4C,-61,2018-05-22 04:02:13
110,00:95:69:C6:77:4C,-57,2018-05-22 04:03:12
110,00:95:69:C6:77:4C,-56,2018-05-22 04:05:12
110,00:95:69:C6:77:4C,-56,2018-05-22 04:06:12
110,00:95:69:C6:77:4C,-54,2018-05-22 04:08:13
110,00:95:69:C6:77:4C,-57,2018-05-22 04:09:12
110,00:95:69:C6:77:4C,-57,2018-05-22 04:12:12
110,00:95:69:C6:77:4C,-56,2018-05-22 04:13:12
110,00:95:69:C6:77:4C,-61,2018-05-22 04:14:13
