shop_id,cus_mac,sen_mac,frame_big,frame_little,channel,intensity,time
506,00:00:00:00:74:F1,88:66:39:62:C3:01,00,04,11,-80,2018-05-27 13:00:51
506,00:00:00:00:74:F1,88:66:39:62:C6:C1,00,04,1,-65,2018-05-27 13:01:51
506,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,1,-47,2018-05-27 13:02:51
506,00:00:00:00:74:F1,88:66:39:62:D8:41,00,04,12,-58,2018-05-27 13:03:51
506,00:00:00:00:74:F1,88:66:39:62:C4:21,00,04,11,-63,2018-05-27 13:05:51
506,00:00:00:00:74:F1,88:66:39:62:C6:01,00,04,4,-70,2018-05-27 13:06:51
506,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,4,-39,2018-05-27 13:07:51
506,00:00:00:00:74:F1,88:66:39:62:C3:41,00,04,3,-67,2018-05-27 13:08:51
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-55,2018-05-27 13:09:51
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-59,2018-05-27 13:10:51
506,00:00:00:00:74:F1,88:66:39:62:C3:41,01,09,11,-55,2018-05-27 13:11:51
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-58,2018-05-27 13:12:51
506,00:00:00:00:74:F1,88:66:39:62:C4:21,00,04,7,-62,2018-05-27 13:13:51
506,00:00:00:00:74:F1,88:66:39:62:C6:01,00,04,13,-67,2018-05-27 13:14:51
506,00:00:00:00:74:F1,88:66:39:62:C5:A1,00,04,8,-79,2018-05-27 13:16:51
506,00:00:00:00:74:F1,50:6F:77:44:72:C1,00,04,13,-66,2018-05-27 13:17:51
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-57,2018-05-27 13:18:51
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-56,2018-05-27 13:19:51
506,00:00:00:00:74:F1,88:66:39:62:C3:41,00,04,3,-65,2018-05-27 13:21:51
506,00:00:00:00:74:F1,88:66:39:62:C6:01,00,04,9,-75,2018-05-27 13:22:51
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-58,2018-05-27 13:23:51
506,00:00:00:00:74:F1,88:66:39:62:C3:41,00,04,8,-61,2018-05-27 13:24:51
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-56,2018-05-27 13:26:51
506,00:00:00:00:74:F1,88:66:39:62:C6:01,00,04,13,-74,2018-05-27 13:27:52
506,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,13,-47,2018-05-27 13:28:52
506,00:00:00:00:74:F1,88:66:39:62:C5:A1,00,04,8,-80,2018-05-27 13:29:52
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-55,2018-05-27 13:30:52
506,00:00:00:00:74:F1,88:66:39:62:C4:21,00,04,11,-64,2018-05-27 13:31:52
506,00:00:00:00:74:F1,88:66:39:62:C6:01,00,04,4,-62,2018-05-27 13:32:52
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-57,2018-05-27 13:33:52
506,00:00:00:00:74:F1,88:66:39:62:C2:01,00,04,3,-68,2018-05-27 13:34:52
506,00:00:00:00:74:F1,50:6F:77:44:72:C1,00,04,4,-57,2018-05-27 13:35:52
506,00:00:00:00:74:F1,88:66:39:62:DA:81,01,08,7,-92,2018-05-27 13:36:52
506,00:00:00:00:74:F1,88:66:39:62:C5:A1,00,04,5,-80,2018-05-27 13:37:52
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-56,2018-05-27 13:38:52
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-58,2018-05-27 13:39:52
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-57,2018-05-27 13:42:52
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-57,2018-05-27 13:43:52
506,00:00:00:00:74:F1,88:66:39:62:C4:21,00,04,11,-64,2018-05-27 13:44:52
506,00:00:00:00:74:F1,88:66:39:62:C6:01,00,04,4,-77,2018-05-27 13:45:52
506,00:00:00:00:74:F1,88:66:39:62:DA:A1,00,04,12,-90,2018-05-27 13:46:52
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-58,2018-05-27 13:47:52
506,00:00:00:00:74:F1,5C:54:6D:38:B5:01,01,09,11,-55,2018-05-27 13:48:52
506,00:00:00:00:74:F1,88:66:39:62:DA:81,00,04,4,-78,2018-05-27 13:49:52
506,00:00:00:00:74:F1,88:66:39:62:D8:41,00,04,8,-62,2018-05-27 13:50:52
506,00:00:00:00:74:F1,88:66:39:62:C6:C1,00,04,1,-66,2018-05-27 13:53:52
