shop_id,mac,time
369,00:00:00:00:74:F1,2018-05-16 16:00:03
369,00:00:00:00:74:F1,2018-05-16 16:01:03
369,00:00:00:00:74:F1,2018-05-16 16:02:03
369,00:00:00:00:74:F1,2018-05-16 16:03:03
369,00:00:00:00:74:F1,2018-05-16 16:04:03
369,00:00:00:00:74:F1,2018-05-16 16:05:03
369,00:00:00:00:74:F1,2018-05-16 16:06:03
369,00:00:00:00:74:F1,2018-05-16 16:07:03
369,00:00:00:00:74:F1,2018-05-16 16:08:03
369,00:00:00:00:74:F1,2018-05-16 16:09:03
369,00:00:00:00:74:F1,2018-05-16 16:10:03
369,00:00:00:00:74:F1,2018-05-16 16:11:03
369,00:00:00:00:74:F1,2018-05-16 16:12:03
369,00:00:00:00:74:F1,2018-05-16 16:13:03
369,00:00:00:00:74:F1,2018-05-16 16:14:03
369,00:00:00:00:74:F1,2018-05-16 16:15:03
369,00:00:00:00:74:F1,2018-05-16 16:16:03
369,00:00:00:00:74:F1,2018-05-16 16:17:03
369,00:00:00:00:74:F1,2018-05-16 16:18:03
369,00:00:00:00:74:F1,2018-05-16 16:19:03
369,00:00:00:00:74:F1,2018-05-16 16:20:03
369,00:00:00:00:74:F1,2018-05-16 16:21:03
369,00:00:00:00:74:F1,2018-05-16 16:22:03
369,00:00:00:00:74:F1,2018-05-16 16:23:03
369,00:00:00:00:74:F1,2018-05-16 16:24:03
369,00:00:00:00:74:F1,2018-05-16 16:25:03
369,00:00:00:00:74:F1,2018-05-16 16:26:03
369,00:00:00:00:74:F1,2018-05-16 16:27:03
369,00:00:00:00:74:F1,2018-05-16 16:28:03
369,00:00:00:00:74:F1,2018-05-16 16:29:03
369,00:00:00:00:74:F1,2018-05-16 16:30:03
369,00:00:00:00:74:F1,2018-05-16 16:31:03
369,00:00:00:00:74:F1,2018-05-16 16:32:03
369,00:00:00:00:74:F1,2018-05-16 16:33:03
369,00:00:00:00:74:F1,2018-05-16 16:34:03
369,00:00:00:00:74:F1,2018-05-16 16:35:03
369,00:00:00:00:74:F1,2018-05-16 16:36:03
369,00:00:00:00:74:F1,2018-05-16 16:37:03
369,00:00:00:00:74:F1,2018-05-16 16:38:03
369,00:00:00:00:74:F1,2018-05-16 16:39:03
369,00:00:00:00:74:F1,2018-05-16 16:40:03
369,00:00:00:00:74:F1,2018-05-16 16:41:04
369,00:00:00:00:74:F1,2018-05-16 16:42:04
369,00:00:00:00:74:F1,2018-05-16 16:43:04
369,00:00:00:00:74:F1,2018-05-16 16:44:04
369,00:00:00:00:74:F1,2018-05-16 16:45:04
369,00:00:00:00:74:F1,2018-05-16 16:46:04
369,00:00:00:00:74:F1,2018-05-16 16:47:04
369,00:00:00:00:74:F1,2018-05-16 16:48:04
369,00:00:00:00:74:F1,2018-05-16 16:49:04
369,00:00:00:00:74:F1,2018-05-16 16:50:04
369,00:00:00:00:74:F1,2018-05-16 16:51:04
369,00:00:00:00:74:F1,2018-05-16 16:52:04
369,00:00:00:00:74:F1,2018-05-16 16:53:04
369,00:00:00:00:74:F1,2018-05-16 16:54:04
369,00:00:00:00:74:F1,2018-05-16 16:55:04
369,00:00:00:00:74:F1,2018-05-16 16:56:04
369,00:00:00:00:74:F1,2018-05-16 16:57:04
369,00:00:00:00:74:F1,2018-05-16 16:58:04
369,00:00:00:00:74:F1,2018-05-16 16:59:04
369,00:28:F8:BB:7E:57,2018-05-16 16:00:03
369,00:28:F8:BB:7E:57,2018-05-16 16:03:03
369,00:28:F8:BB:7E:57,2018-05-16 16:04:03
369,00:28:F8:BB:7E:57,2018-05-16 16:06:03
369,00:28:F8:BB:7E:57,2018-05-16 16:08:03
369,00:28:F8:BB:7E:57,2018-05-16 16:12:03
369,00:28:F8:BB:7E:57,2018-05-16 16:14:03
369,00:28:F8:BB:7E:57,2018-05-16 16:15:03
369,00:28:F8:BB:7E:57,2018-05-16 16:23:03
369,00:28:F8:BB:7E:57,2018-05-16 16:25:03
369,00:28:F8:BB:7E:57,2018-05-16 16:26:03
369,00:28:F8:BB:7E:57,2018-05-16 16:27:03
369,00:28:F8:BB:7E:57,2018-05-16 16:29:03
369,00:28:F8:BB:7E:57,2018-05-16 16:31:03
