[2018-05-18 10:43:21] [INFO] 6, 插入一条repertory信息到数据仓库, id: 53691, name: 70g好丽友呀土豆(烧鸡比萨)
[2018-05-18 10:43:21] [INFO] 7, 插入一条repertory信息到数据仓库, id: 61107, name: 51g洽洽喀吱脆著片（泡菜）
[2018-05-18 10:43:21] [INFO] 8, 插入一条repertory信息到数据仓库, id: 15949, name: 乖媳妇野山椒土鸡爪238g
[2018-05-18 10:43:21] [INFO] 9, 插入一条repertory信息到数据仓库, id: 16845, name: 农佳花生205g蒜味五香
[2018-05-18 10:43:21] [INFO] 10, 插入一条repertory信息到数据仓库, id: 17604, name: 70g好丽友呀土豆(薯条番茄)
[2018-05-18 10:43:21] [INFO] 11, 插入一条repertory信息到数据仓库, id: 89636, name: HA 农夫尖叫活性肽运动饮料550ml
[2018-05-18 10:43:21] [INFO] 12, 插入一条repertory信息到数据仓库, id: 84640, name: 娃哈哈营养快线水果牛奶饮品（原味）500ml
[2018-05-18 10:43:21] [INFO] 13, 插入一条repertory信息到数据仓库, id: 10749, name: 双喜（百年经典）
[2018-05-18 10:43:21] [INFO] 14, 插入一条repertory信息到数据仓库, id: 75522, name: 怡宝饮用纯净水
[2018-05-18 10:43:21] [INFO] 15, 插入一条repertory信息到数据仓库, id: 76629, name: 美味鲜蒜蓉辣椒酱260g
[2018-05-18 10:43:21] [INFO] 16, 插入一条repertory信息到数据仓库, id: 6222, name: 小茗同学青柠红茶
[2018-05-18 10:43:21] [INFO] 17, 插入一条repertory信息到数据仓库, id: 7136, name: 饮用天然矿泉水
[2018-05-18 10:43:22] [INFO] 18, 插入一条repertory信息到数据仓库, id: 8749, name: 维他柠檬茶 500ml(香港进口)
[2018-05-18 10:43:22] [INFO] 19, 插入一条repertory信息到数据仓库, id: 57272, name: 屈臣氏沙示汽水
[2018-05-18 10:43:22] [INFO] 20, 插入一条repertory信息到数据仓库, id: 16758, name: 福久福花生米120g
[2018-05-18 10:43:22] [INFO] 21, 插入一条repertory信息到数据仓库, id: 16728, name: 康师傅超爽桶KING老坛酸菜牛肉面
[2018-05-18 10:43:22] [INFO] 22, 插入一条repertory信息到数据仓库, id: 25326, name: 淳风派香辣卤香干
[2018-05-18 10:43:22] [INFO] 23, 插入一条repertory信息到数据仓库, id: 89638, name: 雅哈咖啡饮料（冰咖啡）450ml
[2018-05-18 10:43:22] [INFO] 24, 插入一条repertory信息到数据仓库, id: 8653, name: 王老吉凉茶植物饮料310毫升
[2018-05-18 10:43:22] [INFO] 25, 插入一条repertory信息到数据仓库, id: 8616, name: 9度特制纯生啤酒
[2018-05-18 10:43:22] [INFO] 26, 插入一条repertory信息到数据仓库, id: 5937, name: 乐事清爽黄瓜味40克*10包*4袋
[2018-05-18 10:43:22] [INFO] 27, 插入一条repertory信息到数据仓库, id: 69773, name: 五羊绿豆批
[2018-05-18 10:43:22] [INFO] 28, 插入一条repertory信息到数据仓库, id: 89637, name: 振信2015时尚粘钩
[2018-05-18 10:43:22] [INFO] 29, 插入一条repertory信息到数据仓库, id: 84715, name: 无穷蜂蜜烤鸡小腿13g
[2018-05-18 10:43:22] [INFO] 30, 插入一条repertory信息到数据仓库, id: 51843, name: 软双喜烟包
[2018-05-18 10:43:22] [INFO] 31, 插入一条repertory信息到数据仓库, id: 84673, name: 冰工厂清爽蓝莓棒冰
[2018-05-18 10:43:22] [INFO] 32, 插入一条repertory信息到数据仓库, id: 13212, name: 苹果醋饮料650ml
