shop_id,mac,time
110,00:00:00:00:74:F1,2018-05-19 00:00:20
110,00:00:00:00:74:F1,2018-05-19 00:02:20
110,00:00:00:00:74:F1,2018-05-19 00:03:20
110,00:00:00:00:74:F1,2018-05-19 00:04:20
110,00:00:00:00:74:F1,2018-05-19 00:05:20
110,00:00:00:00:74:F1,2018-05-19 00:06:20
110,00:00:00:00:74:F1,2018-05-19 00:07:20
110,00:00:00:00:74:F1,2018-05-19 00:08:20
110,00:00:00:00:74:F1,2018-05-19 00:10:20
110,00:00:00:00:74:F1,2018-05-19 00:11:20
110,00:00:00:00:74:F1,2018-05-19 00:12:20
110,00:00:00:00:74:F1,2018-05-19 00:13:20
110,00:00:00:00:74:F1,2018-05-19 00:15:20
110,00:00:00:00:74:F1,2018-05-19 00:16:20
110,00:00:00:00:74:F1,2018-05-19 00:17:20
110,00:00:00:00:74:F1,2018-05-19 00:18:20
110,00:00:00:00:74:F1,2018-05-19 00:19:20
110,00:00:00:00:74:F1,2018-05-19 00:21:20
110,00:00:00:00:74:F1,2018-05-19 00:22:20
110,00:00:00:00:74:F1,2018-05-19 00:23:20
110,00:00:00:00:74:F1,2018-05-19 00:25:20
110,00:00:00:00:74:F1,2018-05-19 00:26:20
110,00:00:00:00:74:F1,2018-05-19 00:27:20
110,00:00:00:00:74:F1,2018-05-19 00:28:20
110,00:00:00:00:74:F1,2018-05-19 00:29:20
110,00:00:00:00:74:F1,2018-05-19 00:30:20
110,00:00:00:00:74:F1,2018-05-19 00:31:20
110,00:00:00:00:74:F1,2018-05-19 00:33:20
110,00:00:00:00:74:F1,2018-05-19 00:34:20
110,00:00:00:00:74:F1,2018-05-19 00:36:20
110,00:00:00:00:74:F1,2018-05-19 00:37:20
110,00:00:00:00:74:F1,2018-05-19 00:38:20
110,00:00:00:00:74:F1,2018-05-19 00:39:20
110,00:00:00:00:74:F1,2018-05-19 00:40:20
110,00:00:00:00:74:F1,2018-05-19 00:42:20
110,00:00:00:00:74:F1,2018-05-19 00:46:20
110,00:00:00:00:74:F1,2018-05-19 00:47:20
110,00:00:00:00:74:F1,2018-05-19 00:48:20
110,00:00:00:00:74:F1,2018-05-19 00:49:20
110,00:00:00:00:74:F1,2018-05-19 00:50:20
110,00:00:00:00:74:F1,2018-05-19 00:51:20
