store_id,name,count
6924882486100,百事可乐,8
6938453290225,春燕毛巾,1
6937221716172,贤哥辣么小脆脆,6
6907992821566,伊利牧场小布丁奶油口味雪糕（48克*40支）,6
6933311067148,72克兰花豆(酱汁牛肉味),7
4891028707851,维他奶（低糖）,12
6949251200613,热水器出水管。,1
6901028134903,金圣（硬红）,23
6901028942645,好日子(硬吉祥出口HK)小盒,7
6970707970019,旺麦通椰香面包90克（2元共）,1
6907992822914,心多多蜜豆牛奶味雪糕,20
6907878125023,雪碧1.25L 瓶,30
6926032380795,超省钱 PP档案盒，A4，55MM,1
6937221713515,60g贤哥山椒双蛋,1
6914557183342,珍珍薯片(番茄)90g,5
6971232446987,柠檬味无汽苏打水饮料,1
6902902003797,500ml美味鲜白醋,20
6956426910109,蜂巢凉粉,2
6936869215221,味芝元洞庭野生鱼尾32g,3
6924760720425,小布丁,4
6901028199414,芙蓉(软红),22
6956052901014,椒骄相约辣系140克,1
6914068020440,JM036洁柔Face百花香味迷你型纸手帕,4
6926032330585,齐心B3058统一钉书针,1
6959836900098,贤哥五香有壳单蛋30g,3
6901028003773,盒双喜百年经典,16
6904417012455,赖皮猫香葱味,1
6901028045902,云烟软珍品,24
6902083880804,娃哈哈100ml%*5AD钙奶,4
6914973600997,mm牛奶巧克力豆30.6g,8
6901347880017,245g椰树天然椰子汁（纸盒高瓶）,6
6930953094044,键能风味发酵乳(草莓果肉),6
6907992513553,希腊风味酸奶—香草味,14
6926896702955,吉香居下饭菜106克,1
6907878055054,冰露水,9
6948960106186,哈尔滨小麦王高500ml,4
6926896702979,吉香居爽脆豇豆106克,2
6901028007917,双喜传奇,25
6933289720182,咪咪蟹味,2
6901028196468,万宝路(硬冰爵),14
6957288300282,龙岩泡鸭翅,5
6928015480119,500ML兰花一品鲜酱油,20
6970202420019,五谷营养蛋,1
6901028165914,小目标,6
6921632600205,晶泰双旦70克,3
6934513401754,幺六吧咸味花生120克,1
6937685603469,10度580毫升经典鲜啤（金色纸标）,11
6953129313633,金针菇,1
6901028018210,大前门1916,14
6901028228428,天子五粮香,7
6933088615351,瓶酸牛奶,4
6903653026707,美嘉思马仔王35g,4
4072700001775,教士啤酒听装500ml,3
6953179600011,风味鱼,2
6926905100444,星期一,1
7622100916369,黑绿万宝路,14
6906664823327,红枣枸杞牛奶饮品,6
6920180219082,屈臣氏沙示汽水380ml,19
6917878009254,雀巢花生威化巧克力（代可可脂）,4
6923450662267,9ml彩虹缤纷果味糖原味,11
6957971100250,椰果奶茶,2
6959836904058,贤哥旦定一哥盐焗鸡蛋30克,4
6936200600310,绿丹湖食用玉米淀粉,7
6902265610014,白米醋,13
6921168558032,东方树叶 乌龙茶 调味茶饮料 淡茶,17
6932496800205,贝奇菜仔奶,4
6953601802099,麻辣脆骨,2
6915530823316,嘉乐冬瓜茶（盒）250mL,15
6901715287844,巴西烤肉味,7
6921294355383,康师傅 劲凉冰红茶 1L,16
6941543400800,卡乐B乳酸菌饮品338ml,5
6930341500713,大亨红枣牛奶250ml,14
6937819405051,百旺复印纸80g/㎡*500,1
6907878050776,芬达葡萄 500毫升 PET  瓶,16
6937761805152,宝矿力水特900ml,7
6921734900388,得力0038彩色回形针(混)(160枚/筒),2
6907878030037,芬达橙 300ml瓶,14
6941174488888,力诚甜玉米肠（共）,1
6926032366164,"大容量 报告夹,A4,抽杆式,60张",1
6927073420082,A5办公抄本,1
6907992514048,味可滋草莓牛奶,10
6937221718008,32克贤哥香辣味烤肠（共）,1
6907878330113,摩登罐雪碧,12
6908004203158,手挽杯(调味韧性饼干),1
6924160714949,30g香卤鸡蛋,5
6937221716127,贤哥名嘴1哥棒棒素鸡筋109克共,6
6926032335757,A4，标准型轻便夹，长押夹+板夹，20MM,1
6901347884343,椰树椰汁1L,11
6901028062343,南京(十二钗薄荷),21
6970495960049,18克奥尔良鸡排,1
6935284415070,卫龙82 火药辣条,8
6908946284451,百事可乐可乐型汽水,19
6971005590046,诚英面包,5
6923644280376,大布丁1,1
6909493800453,和路雪麦酷狮（绿舌头苹果口味）,3
6918551810877,五羊飞鱼香草雪糕,7
6922858201177,百事可乐可乐型汽水,2
