store_id,amounts
135.0,73923.0
145.0,109861.96
154.0,71008.68
186.0,5390.58
198.0,3103.5
200.0,646280.16
204.0,3273.0
209.0,74069.5
211.0,2288.0
217.0,65477.9
218.0,175728.23
234.0,12971.05
248.0,33894.8
270.0,2221.5
277.0,1153.5
282.0,92.5
283.0,114576.96
284.0,82863.56
285.0,10351.0
287.0,7656621.6
288.0,180.5
289.0,1297.5
291.0,24996.2
292.0,44978.0
299.0,60073.9
300.0,11704.42
301.0,1527.0
302.0,27898.5
304.0,21383.2
305.0,6066.1
306.0,19253.4
313.0,4745.5
318.0,189502.63
327.0,3345.5
328.0,6295.6
329.0,23589.0
333.0,36.5
334.0,1478.9
337.0,9632.2
339.0,10592.0
340.0,38094.2
341.0,43.0
342.0,2485.8
343.0,20.0
345.0,16934.49
346.0,25.0
347.0,67746.0
348.0,24155.2
349.0,57814.0
350.0,1971409.7
351.0,20472.5
352.0,53885.3
353.0,27605.0
355.0,8479.9
357.0,161.5
358.0,3629.7
359.0,23549.2
360.0,1685.7
361.0,3984.9
362.0,7131.0
363.0,488.5
364.0,7888.4
365.0,20052.4
366.0,4695.5
373.0,10636.0
374.0,35670.17
375.0,12609.9
376.0,14878.0
378.0,39363.51
379.0,615.5
380.0,3125.0
381.0,6640.0
382.0,8246.2
383.0,2998.0
384.0,81406.1
385.0,19349.9
386.0,41496.5
387.0,12169.4
388.0,999003045.0
389.0,82962.3
390.0,10100010030.3
391.0,39609.0
392.0,1327.0
393.0,14457.5
394.0,24822.7
395.0,243.0
396.0,2931.5
397.0,8513.4
398.0,43446.8
399.0,1210.5
400.0,746.0
401.0,35797.2
402.0,2975.2
403.0,1064.4
404.0,1321.6
405.0,3474.3
406.0,2160.5
407.0,6176.0
408.0,139.0
409.0,125.0
410.0,11719.5
411.0,5236.0
412.0,6546.1
413.0,1212.5
,
416.0,2857.0
417.0,5412.6
418.0,12721.0
419.0,8426.0
420.0,2569.8
421.0,3875.9
422.0,13901.0
423.0,3629.0
424.0,5147.5
425.0,248.6
426.0,539.8
427.0,1559.6
428.0,12486.5
429.0,648.0
430.0,6931.5
431.0,1625.0
432.0,3521.9
433.0,4767.9
434.0,71.0
435.0,4327.3
436.0,2094.5
437.0,404.0
438.0,98.0
439.0,723.5
440.0,2108.4
441.0,4533.0
442.0,186.0
443.0,2466.5
444.0,187.0
445.0,127.0
446.0,988.5
447.0,366.5
448.0,90.5
449.0,20.0
