barcode,price,count
6902534023811 ,"[12.00, 13.00, 12.50]","[26, 17, 10]"
6957690100012 ,[6.00],[1]
6951691122653 ,"[55.00, 5.00, 5.50]","[1, 1, 1]"
4000000432500 ,[3.99],[1]
9019100000002 ,[3],[1]
6934158318714 ,"[2.555, 3]","[1, 1]"
6952813400987 ,"[10.00, 10, 82.00]","[89, 4, 1]"
6952813400031 ,"[15.00, 15, 125.00]","[71, 7, 1]"
6936378300012 ,"[5.00, 6.00]","[9, 1]"
6920202888883 ,"[6.00, 5.50, 7.00]","[106, 4, 3]"
6924686501498 ,"[3.50, 4.00]","[15, 6]"
6923644223458 ,"[3.00, 3.50, 2.50]","[30, 10, 1]"
4547691689719 ,"[15.00, 25.00, 20.00]","[6, 2, 1]"
6901028180801 ,"[16.00, 17.00, 20.00]","[77, 11, 3]"
6923644242930 ,"[2.00, 2.50, 1.50]","[28, 2, 1]"
6901028223751 ,"[14.00, 15.00, 14]","[64, 12, 2]"
6922858233062 ,"[2.50, 2.5]","[16, 1]"
6928804010275 ,"[3.00, 3.50, 3]","[26, 2, 1]"
6901028075763 ,"[45.00, 46.00, 45]","[90, 5, 5]"
6901294177659 ,"[5.00, 4.50, 4.00]","[3, 2, 2]"
6901028118170 ,"[15.00, 14.00, 15]","[63, 42, 6]"
6901028193498 ,"[25.00, 24.00, 25]","[105, 9, 5]"
6921168558032 ,"[4.00, 4.50, 5.00]","[20, 7, 7]"
8801116005574 ,"[15.00, 13.00, 14.00]","[16, 6, 4]"
6901028001182 ,"[8.00, 8.50, 9.00]","[41, 33, 17]"
6928758789609 ,"[11.00, 12.00, 10.00]","[29, 14, 4]"
6921294396362 ,"[4.00, 4.50, 4]","[72, 19, 4]"
6924686502204 ,"[5.00, 4.50, 6.00]","[6, 4, 1]"
6921294300680 ,"[2.50, 2.00, 3.50]","[15, 3, 1]"
6901028317122 ,"[23.00, 22.00, 23]","[69, 36, 3]"
6911988014320 ,"[3.00, 3.50]","[23, 2]"
6950296500057 ,"[2.00, 1.25]","[2, 2]"
4897036691175 ,"[6.00, 7.00, 5.50]","[20, 2, 1]"
6923450657935 ,"[10.00, 11.00, 12.00]","[35, 11, 4]"
